1st accuracy,2ns accuracy,3rd accuracy,4th accuracy,5th accuracy,6th accuracy,7th accuracy,8th accuracy,9th accuracy,10th accuracy,Average accuracy,1st time,2ns time,3rd time,4th time,5th time,6th time,7th time,8th time,9th time,10th time,Average time
2.9358091,0.6870914,2.6171396,3.8367035,2.2243686,1.0038524,1.6544924,3.6348743,1.4656622,2.1423514,2.2202344,2179,3361,4672,5641,7015,8359,9492,11125,12066,13143,7705.3
3.713579,0.4755427,1.9853652,1.9894682,2.8290305,1.9141793,2.783152,2.1164057,2.5160785,0.5557507,2.087855,2711,3975,4949,6222,7490,8658,9797,11203,12374,13507,8088.6
2.9519997,1.5980198,2.2192564,3.2917407,2.43512,1.3664204,3.3922112,2.8613186,6.828804,2.3380167,2.9282908,2141,3251,4340,5668,6643,7756,8613,9749,10460,11573,7019.4
2.7703538,3.5100703,1.8641765,4.112247,1.7316233,1.2255647,2.116151,3.0087457,1.638076,2.939347,2.4916356,2537,3971,4978,6034,7360,8529,10208,11354,12834,14088,8189.3
5.5432906,2.1721234,4.41253,2.4166954,8.149824,1.5167537,2.6820717,2.4375,4.084503,1.2778584,3.469315,1913,3073,4368,5504,6553,7904,8817,9793,10836,12067,7791.0796
1.5896211,6.7870383,4.3025303,4.2210717,4.0570116,5.3870277,3.4726863,0.18070523,4.505388,4.738645,3.9241722,2053,3123,4444,5796,7180,8555,9933,11164,12292,13228,7776.8
3.613578,4.378133,1.3466583,2.242195,0.8082598,1.4093434,6.2726474,2.6470325,1.6722692,1.2532213,2.564334,2018,3001,4577,5689,6769,7794,8921,10018,11362,12569,7271.8
2.7202475,3.8227694,2.9189107,4.1729546,1.969572,3.3258007,3.367087,2.1066532,2.3199196,2.601135,2.932505,2111,3046,3878,5127,6382,7439,8646,9639,10872,12311,6945.1
2.5860798,3.6239235,1.5754728,1.874514,1.8073688,0.9097399,1.5632477,2.9260998,2.0549917,2.5886002,2.3661041,1900,3089,4067,5010,5988,7176,8113,9146,9962,10978,7197.19
0.76440394,10.671727,3.0573912,4.642247,3.5563555,0.41598424,0.5196088,1.3410083,2.9783611,3.8880727,3.183516,1988,3091,4180,5187,6235,7475,8717,9923,10771,11932,6949.9
0.84069145,3.2425246,1.7307643,1.2590348,4.88522,4.2466044,5.7091293,1.6004722,3.8210123,3.7120147,3.1047468,2070,3277,4349,5494,6693,7910,9110,10197,11445,12223,7276.8
